                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.50966,                 1.6152,                 1.1644,                0.54311,                0.72933,                0.64506,                0.43393,                0.80795,                 1.5996,                0.92585,             0.00055471,             0.00055471,             0.00055471
                      1,                 0.4289,                 1.1337,                  1.091,                0.47381,                0.62591,                0.48777,                0.38579,                0.66786,                 1.3908,                 0.9474,              0.0010994,              0.0010994,              0.0010994
                      2,                0.43162,                  1.075,                 1.0878,                0.50095,                0.85571,                0.68484,                0.58767,                 0.5398,                 1.1584,                0.77243,              0.0016331,              0.0016331,              0.0016331
                      3,                  0.406,                 1.0198,                 1.0716,                0.71948,                0.85447,                0.84414,                0.75275,                0.56233,                0.96674,                0.79087,              0.0016175,              0.0016175,              0.0016175
                      4,                0.38676,                0.98857,                 1.0622,                0.51529,                0.86783,                0.87505,                0.82467,                0.41294,                 1.2872,                0.66171,              0.0016175,              0.0016175,              0.0016175
                      5,                0.34509,                0.94015,                 1.0398,                0.72319,                0.91507,                0.90858,                0.80925,                0.52048,                0.80484,                 0.6928,               0.001601,               0.001601,               0.001601
                      6,                0.31614,                0.90213,                 1.0272,                0.77291,                0.86151,                0.87087,                 0.7543,                0.46184,                0.95054,                0.62768,              0.0015845,              0.0015845,              0.0015845
                      7,                0.32024,                0.90513,                 1.0309,                0.78609,                0.89555,                0.85763,                 0.7429,                0.51948,                0.78897,                0.66079,               0.001568,               0.001568,               0.001568
                      8,                0.29854,                0.89055,                 1.0203,                0.77277,                  0.835,                 0.8698,                0.69921,                0.58141,                0.89609,                0.79838,              0.0015515,              0.0015515,              0.0015515
                      9,                0.30014,                 0.8873,                 1.0239,                0.88903,                0.91302,                0.95939,                0.90157,                 0.4043,                0.63014,                0.57238,               0.001535,               0.001535,               0.001535
                     10,                0.27808,                0.84954,                  1.007,                0.72967,                0.82441,                0.81741,                0.70247,                0.46134,                0.94259,                0.59795,              0.0015185,              0.0015185,              0.0015185
                     11,                0.28441,                0.86976,                 1.0184,                0.78702,                0.85819,                0.89743,                0.82634,                0.41401,                0.66539,                0.59981,               0.001502,               0.001502,               0.001502
                     12,                0.28011,                0.84984,                  1.017,                0.86168,                0.90315,                0.93858,                0.84393,                0.46704,                0.73878,                0.61991,              0.0014855,              0.0014855,              0.0014855
                     13,                0.26973,                0.82955,                 1.0106,                0.84217,                0.94933,                0.95941,                0.88519,                0.39375,                0.57541,                0.59999,               0.001469,               0.001469,               0.001469
                     14,                0.27024,                0.81762,                 1.0106,                0.86539,                0.91052,                 0.9691,                0.85875,                0.45459,                0.59672,                0.58545,              0.0014525,              0.0014525,              0.0014525
                     15,                0.25781,                0.83432,                 1.0016,                0.77847,                0.85857,                0.92773,                0.83597,                0.48809,                0.60723,                 0.6277,               0.001436,               0.001436,               0.001436
                     16,                0.26306,                0.82622,                 1.0078,                0.81563,                0.86854,                0.95433,                 0.8816,                0.42585,                0.60166,                0.56501,              0.0014195,              0.0014195,              0.0014195
                     17,                0.26756,                0.83484,                 1.0058,                0.81507,                0.86093,                0.88999,                0.81243,                0.41355,                0.85774,                0.58542,              0.0014029,              0.0014029,              0.0014029
                     18,                0.26514,                0.81032,                 1.0037,                0.92161,                0.93378,                0.97825,                0.85317,                0.49377,                0.51715,                0.62169,              0.0013864,              0.0013864,              0.0013864
                     19,                0.24702,                0.81119,                 1.0003,                0.69974,                0.80901,                0.87228,                0.78793,                0.37772,                0.94808,                0.54432,              0.0013699,              0.0013699,              0.0013699
                     20,                0.23547,                0.78874,                0.99598,                0.87669,                0.89196,                 0.9553,                0.84532,                0.46629,                0.57875,                0.60844,              0.0013534,              0.0013534,              0.0013534
                     21,                 0.2303,                 0.7885,                0.98437,                0.88588,                0.91766,                0.96724,                0.91229,                 0.3815,                0.62532,                0.54665,              0.0013369,              0.0013369,              0.0013369
                     22,                0.22333,                0.78683,                0.98942,                0.81792,                0.88474,                0.95858,                0.86737,                0.37763,                0.70652,                0.51524,              0.0013204,              0.0013204,              0.0013204
                     23,                0.24224,                0.80517,                0.99696,                 0.8714,                0.93142,                0.97381,                 0.8982,                0.44986,                0.51906,                0.57601,              0.0013039,              0.0013039,              0.0013039
                     24,                0.23327,                 0.7843,                 0.9921,                0.87358,                0.90174,                 0.9522,                0.88177,                0.38893,                0.83056,                0.59272,              0.0012874,              0.0012874,              0.0012874
                     25,                0.23453,                0.79546,                0.99449,                0.91008,                0.95428,                0.97103,                0.90452,                0.42355,                0.51781,                0.59345,              0.0012709,              0.0012709,              0.0012709
                     26,                0.23356,                0.77215,                0.99083,                0.95041,                0.92111,                0.98126,                0.92183,                 0.3538,                0.45208,                0.47024,              0.0012544,              0.0012544,              0.0012544
                     27,                0.22533,                0.75264,                0.98921,                0.86867,                 0.9242,                 0.9641,                 0.9385,                0.32781,                 0.5528,                0.50558,              0.0012379,              0.0012379,              0.0012379
                     28,                0.21301,                0.75073,                0.97782,                0.82404,                0.88467,                0.91982,                0.88824,                0.36468,                0.86783,                0.53952,              0.0012214,              0.0012214,              0.0012214
                     29,                0.21881,                0.75618,                0.98028,                0.67774,                0.77232,                0.79479,                0.73732,                0.41198,                 1.1345,                0.55603,              0.0012049,              0.0012049,              0.0012049
                     30,                0.20707,                0.77204,                0.97279,                0.92718,                 0.9496,                0.97988,                0.88578,                0.40432,                0.54006,                0.52428,              0.0011884,              0.0011884,              0.0011884
                     31,                0.21089,                0.74334,                0.98202,                0.83067,                0.86321,                0.94104,                0.90317,                0.35142,                0.76955,                 0.5046,              0.0011719,              0.0011719,              0.0011719
                     32,                0.20143,                0.75508,                0.97526,                0.85373,                0.80088,                 0.8858,                0.81763,                0.39171,                0.73419,                0.54157,              0.0011554,              0.0011554,              0.0011554
                     33,                0.20734,                 0.7579,                0.97897,                 0.8719,                0.91253,                0.96694,                0.90709,                0.34131,                0.53306,                0.47824,              0.0011389,              0.0011389,              0.0011389
                     34,                 0.2019,                0.75026,                0.97593,                0.82481,                0.89646,                0.93245,                0.87222,                0.39255,                0.66226,                0.52164,              0.0011224,              0.0011224,              0.0011224
                     35,                0.20471,                0.73638,                0.98489,                0.87732,                0.88867,                0.96866,                0.87061,                0.39488,                0.73668,                0.49699,              0.0011059,              0.0011059,              0.0011059
                     36,                0.19531,                0.73441,                0.97042,                0.95114,                0.88613,                0.96665,                 0.9235,                0.39441,                0.75368,                 0.5115,              0.0010894,              0.0010894,              0.0010894
                     37,                0.19897,                0.71727,                0.97617,                0.85745,                0.84365,                0.91237,                0.81463,                0.43444,                0.74004,                0.58194,              0.0010729,              0.0010729,              0.0010729
                     38,                 0.2061,                0.71769,                0.97681,                0.84569,                0.76531,                0.86143,                0.79145,                0.35764,                 1.0484,                0.46605,              0.0010564,              0.0010564,              0.0010564
                     39,                0.19472,                0.70721,                0.97231,                0.84227,                0.89476,                0.93087,                0.90222,                 0.3469,                  0.792,                0.48899,              0.0010399,              0.0010399,              0.0010399
                     40,                0.19084,                0.71754,                0.97019,                0.89807,                0.88971,                0.94873,                0.91461,                0.36075,                0.75736,                0.46929,              0.0010234,              0.0010234,              0.0010234
                     41,                0.18943,                0.72734,                0.96918,                0.93585,                0.95998,                0.98245,                0.91374,                0.39482,                 0.4358,                0.48333,              0.0010069,              0.0010069,              0.0010069
                     42,                0.18668,                0.72145,                0.97023,                0.94578,                0.95664,                0.98011,                0.92177,                 0.3873,                0.45749,                0.50155,             0.00099036,             0.00099036,             0.00099036
                     43,                 0.1844,                0.71477,                0.96426,                0.89567,                0.96268,                0.95384,                 0.9123,                0.35125,                0.50572,                0.46128,             0.00097386,             0.00097386,             0.00097386
                     44,                0.19147,                0.70454,                0.97389,                0.78179,                0.88776,                0.87649,                0.81131,                0.41551,                0.92174,                0.49936,             0.00095736,             0.00095736,             0.00095736
                     45,                0.18248,                0.70787,                0.97057,                 0.9399,                0.93761,                0.97322,                0.90137,                 0.3714,                0.48037,                0.49233,             0.00094085,             0.00094085,             0.00094085
                     46,                0.18344,                0.70758,                 0.9713,                0.91816,                0.90441,                0.95964,                0.86804,                0.44122,                0.57902,                0.53342,             0.00092435,             0.00092435,             0.00092435
                     47,                 0.1789,                0.70029,                0.96505,                0.94334,                0.93371,                0.97429,                0.93934,                0.37496,                0.54715,                0.49765,             0.00090785,             0.00090785,             0.00090785
                     48,                0.18772,                0.69638,                0.97186,                0.85586,                0.87116,                 0.9105,                0.84485,                0.40718,                0.76556,                0.50169,             0.00089134,             0.00089134,             0.00089134
                     49,                0.18024,                0.70689,                0.96483,                0.92178,                  0.949,                0.97077,                0.91142,                0.43211,                0.56181,                0.50069,             0.00087484,             0.00087484,             0.00087484
                     50,                0.18457,                0.70768,                0.97568,                0.77392,                0.82644,                0.88696,                 0.8516,                0.32979,                0.90377,                0.43704,             0.00085834,             0.00085834,             0.00085834
